comment,model_label_initial,model_confidence_initial,llm_label,model_label_final,model_confidence_final
hacker lapang males patroli malam pagi foto empat foto gerak duit alam lapor hilang kertas doang tindak gilir bikin ivent amplop bantuin usaha tkp karna karyawan libat selisih buka musti urus terang juta ijin usaha oknum karna pas kantor kantor oknum ubah karna watak berita viral oknum tangkap ujung nya jaga temen senasip narapidana,negatif,0.7119724337748833,netral,negatif,0.7551853890815532
perintah bjorka tangkap bjorka typing,positif,0.483168867249281,netral,positif,0.5497620448997219
indonesia kurang orang pinter kurang orang jujur orang indonesia jujur indonesia negara maju,positif,0.4777241877884412,netral,negatif,0.6250998434081648
bjorka hebat mata rakyat indonesia cari publikasi data jabat korup bukti korupsi basmi korupsi negara,negatif,0.5098621607014581,positif,negatif,0.4568226106307198
inget milu partai gambar ganti buahbuahan perintah tangkap kriminal swasta negeri rekrut teknisi profesional laku admin salah warnet jogja cmiiw,negatif,0.5120014290828826,netral,positif,0.4444751407615778
rakyat pinter pake primitif bjorka ketawa pojok noh,negatif,0.46692871397881475,netral,negatif,0.4944405924299908
ahh indonesia kerja polisi masyarakat elus dada ujung tertawa bahak bahak dagel,negatif,0.4743682023889839,netral,negatif,0.6473483436481504
sebaik manusia manfaat orang seburuk manusia polisi indonesia,negatif,0.5269380504328987,negatif,negatif,0.5389855029012924
bjorka hibur cerdas masyarakat,negatif,0.5215239664208707,netral,negatif,0.5153139865750038
tajam teguh prestasi butuh prestasi,negatif,0.46641972967904544,netral,positif,0.49916430817663926
ajar nyari karyawan sogok keluarga mampu umur didik agama ras gender,negatif,0.6547412760885878,netral,negatif,0.6207754953735756
indonesia kurang orang pintar kurang orang jujur,positif,0.4676449247642685,netral,negatif,0.6612485375042676
ketawa gurulih tertawa instansi mabes polri,negatif,0.4671914429503444,netral,negatif,0.6571546374103294
inget ter ris imam samudra anak muda ajar teknologi cari duit kaya isilop isilop kerja dapet kuasa teknologi gaji gaji isilop,negatif,0.6502189922449726,netral,negatif,0.6594089766294552
duuhh ampun mah laku polri asli speechless,positif,0.5322126197728126,netral,positif,0.5913503815119479
plot twist bjorka nya podcastt auu,positif,0.5481571548094367,netral,positif,0.5701031373463011
anak pimpin nama purnawan efendi anak laki mukin umur anak normal umumnyapas kelas anak sakit panas sutik ahirnya anak lumpuh kaki ajar internet kuasa allah anak pintar ahli komputer anakanak kuliah ajar beliau simpul stiap kurang,positif,0.6475847948565417,netral,positif,0.627687087189753
gara bikin akun nama bjorka polisi tuduh bjorka asli gua ketawa terang,positif,0.5380553834382427,netral,negatif,0.5244272274863317
bjorka baca sen guna ahli buka busuk jahat negeri cara bukti nasionalisme republik indonesia,negatif,0.6129167885746153,netral,negatif,0.5627572486055142
orang benarbenar cerdas lemah masyarakat indonesia religius mudah kelompok orang masuk ranah sensitif otomatis aman konten youtube netizent indonesia gandrung cannel orang orang jalur mayoritas salut cerdas,negatif,0.5204741267458315,netral,negatif,0.5419488612154125
tsunami fakta,negatif,0.659373244854238,netral,negatif,0.671881727466862
fakta,negatif,0.659373244854238,netral,negatif,0.671881727466862
nemu polisi lingkung jujur kerja males,negatif,0.6438693802140002,netral,negatif,0.6898787815630829
fakta nyata,negatif,0.6357051637553577,netral,negatif,0.7097086421533579
mahkota king,negatif,0.45763559833822315,netral,negatif,0.4227744514460839
fakta negara hukum tugas hukum,negatif,0.47963933345741233,netral,negatif,0.5252110675716125
suka kak patroli malem nyamperin kang miras kang parkir tmpat karoke club malem bar trus salam,negatif,0.6588325520658376,positif,negatif,0.6839992949433142
real,positif,0.7371851914497543,netral,positif,0.7551451823027839
foto lho beneer,positif,0.3689975747489362,netral,positif,0.4190996985620852
laku cipta lapang kerja sulit pdhl dampak kurang miskin negara sangt pengaruh sulit gmna ormas ikut jatah anggap lindung rakyat malak harusny kantor pecat smuanya miskin hukum mati kantor efek jera brni main hukum jamin negara maju kayk china,positif,0.3938068568028542,netral,positif,0.5476450960513661
bener ngalamin lari pagi mobil polisi mberhentiin salah tau suruh motoin doang,negatif,0.698303310218569,netral,negatif,0.7986227634834876
bener patroli rutin cegah jahat lha cegah kagak warga nangkep maling dibebasin,negatif,0.6510311370274987,negatif,negatif,0.669756783491739
bjorka level dewa bandar judol mata tangkap,positif,0.5269980053055199,netral,positif,0.6494890174078427
liat polisi poto doang perut buncit,negatif,0.7386626307609446,netral,negatif,0.7321281103447744
oalah,negatif,0.4285714285714286,netral,positif,0.43611111111111106
kelas,positif,0.5114593004613587,netral,positif,0.5148396717939815
faktaa alm kakak bayi rumah persis warung soto pake live musik ganggu volume keras pol nyanyi mabok tegur ngaruh lapor rtnya kakak warung lapor babinsa suruh kantor polsek sampe polsek polisi bilang terang duit mas ngurusin urus begitu anjeng,positif,0.49925898437128596,netral,positif,0.4396433013336977
polri raport nya metah bingit,positif,0.5332533088960262,netral,positif,0.5180237889641771
cermin mayoritas rakyat indonesia wkwkwkkw,negatif,0.5721526459300266,netral,negatif,0.5714223138306185
pelan pelan bang,negatif,0.6890971537707252,netral,negatif,0.7556446716974892
posisi gonjang ganjing,negatif,0.4285714285714286,netral,positif,0.43611111111111106
oknum indonesia hahahaha,positif,0.5700086912256668,netral,positif,0.5727809775035229
kam masyarakat kerja cuman lapang pagi doank parah bed,negatif,0.6455016187197761,netral,negatif,0.6625724735061741
polisi gitu oknum,negatif,0.6726250323360891,netral,negatif,0.6474059092921167
bener sihb,negatif,0.6090517018303006,netral,negatif,0.6201264395993633
makan gaji buta doang kerja,negatif,0.6582332390376935,netral,negatif,0.6271329667331546
gilir pke helm pas tikung bae nyegat nilang,negatif,0.6177381287466595,netral,negatif,0.6121373832564397
hedeh hedeh,negatif,0.4285714285714286,netral,positif,0.43611111111111106
hujan terang fakta,negatif,0.7679146953453024,netral,negatif,0.7923561527881361
