clean_comment,char_length,word_count,sentiment_label,sentiment_score,confidence,prob_positive,prob_neutral,prob_negative
hacker lapang males patroli malam kalo pagi foto empat foto gerak kalo duit alam 2x lapor hilang kertas doang gak tindak gilir bikin ivent kasih amplop bantuin usaha ane tkp karna karyawan libat selisih buka musti urus terang an 4 juta ijin usaha gk oknum karna pas kantor kalo 1 kantor oknum gak ubah karna watak berita viral oknum tangkap ujung2nya yg jaga temen gak senasip narapidana,387,67,negative,2,0.9910471,0.0034900177,0.0054628607,0.9910471
perintah bjorka tangkap bjorka typing,37,5,neutral,1,0.9873678,0.0007435574,0.9873678,0.011888663
indonesia kurang orang pinter kurang orang jujur orang indonesia jujur indonesia negara maju,92,13,negative,2,0.9833846,0.010136895,0.0064784647,0.9833846
bjorka hebat mata rakyat indonesia cari publikasi data jabat korup bukti korupsi basmi korupsi negara,101,15,negative,2,0.9931891,0.0024821959,0.0043287706,0.9931891
inget milu 2004 partai gambar ganti buahbuahan perintah tangkap kriminal swasta negeri rekrut teknisi profesional laku admin salah warnet jogja cmiiw,149,21,negative,2,0.9250556,0.0017125839,0.07323178,0.9250556
rakyat udah pinter kali aja pake primitif wkwkwk bjorka ketawa pojok noh,72,12,negative,2,0.9957123,0.0015830648,0.0027047067,0.9957123
ahh indonesia paham kerja polisi masyarakat elus dada ujung tertawa bahak bahak dagel,85,13,negative,2,0.9956626,0.0020140286,0.0023233108,0.9956626
sebaik2 manusia yg manfaat orang seburuk2 manusia polisi indonesia,66,9,negative,2,0.94255507,0.037480917,0.019964006,0.94255507
bjorka hibur cerdas masyarakat,30,4,neutral,1,0.8387484,0.15926217,0.8387484,0.0019894356
tajam teguh prestasi butuh prestasi,35,5,positive,0,0.91159326,0.91159326,0.041945968,0.04646071
ajar kalo nyari karyawan sogok kenal keluarga yg mampu umur didik agama ras gender,82,14,negative,2,0.96335477,0.014014402,0.022630813,0.96335477
indonesia gak kurang orang pintar kurang orang jujur,52,8,negative,2,0.5344775,0.4268846,0.0386379,0.5344775
ketawa gurulih bgt tertawa instansi mabes polri,47,7,negative,2,0.8207857,0.16317047,0.016043792,0.8207857
inget kata2 ter ris imam samudra anak muda kalo gak ajar teknologi cari duit kaya isilop isilop 6 kerja dapet 18 jt yg kuasa teknologi gaji 1 gaji isilop 6,155,30,negative,2,0.81107765,0.006022562,0.18289983,0.81107765
duuuuhhh ampun gw mah sm laku polri asli speechless bgt,55,10,positive,0,0.9134296,0.9134296,0.008985215,0.07758519
plot twist bjorka nya podcastt auuuuuuuuu,41,6,neutral,1,0.6930951,0.27976927,0.6930951,0.027135652
anak pimpin nama purnawan efendi anak laki2 mukin umur 30an anak normal umumnyapas kelas sd 3 anak sakit panas n sutik ahirnya anak lumpuh kaki tp ajar internet kuasa allah anak pintar n ahli komputer n anakanak kuliah yg ajar beliau simpul stiap kurang lebih,259,45,negative,2,0.864838,0.032911576,0.1022504,0.864838
gara2 bikin akun nama bjorka polisi tuduh bjorka asli gua ketawa dengar terang,78,13,negative,2,0.9392958,0.0011218279,0.059582308,0.9392958
bjorka klo lu baca sen gw guna ahli utk buka busuk jahat negeri cara sbg bukti nasionalisme republik indonesia,110,19,negative,2,0.8873733,0.01439418,0.09823252,0.8873733
orang benarbenar cerdas lemah masyarakat indonesia yg religius mudah kelompok orang masuk ranah yg sensitif otomatis aman konten youtube netizent indonesia gandrung cannel orang orang jalur mayoritas salut cerdas,212,29,positive,0,0.49669933,0.49669933,0.00960516,0.4936955
tsunami fakta,13,2,negative,2,0.993948,0.0023645577,0.0036875024,0.993948
fakta,5,1,negative,2,0.61856645,0.3257221,0.05571145,0.61856645
