clean_comment,char_length,word_count,sentiment_label,sentiment_score,confidence,prob_positive,prob_neutral,prob_negative
perintah bjorka tangkap bjorka typing,37,5,neutral,1,0.9873678,0.0007435574,0.9873678,0.011888663
bjorka hibur cerdas masyarakat,30,4,neutral,1,0.8387484,0.15926217,0.8387484,0.0019894356
plot twist bjorka nya podcastt auuuuuuuuu,41,6,neutral,1,0.6930951,0.27976927,0.6930951,0.027135652
fakta negara hukum tugas hukum,30,5,neutral,1,0.911942,0.008212642,0.911942,0.07984538
suka kak patroli malem tp nyamperin kang miras kang parkir tmpat karoke club malem bar trus salam,97,17,neutral,1,0.81327975,0.18065456,0.81327975,0.00606566
sinar,5,1,neutral,1,0.7438212,0.21053475,0.7438212,0.045644075
bang pelan pelan kasih fakta terang,35,6,neutral,1,0.38058683,0.25603002,0.38058683,0.36338314
minggu gw liat polisi pas pagi d potodoang perepat lngsung pulanh wkwk,70,12,neutral,1,0.8120825,0.024797238,0.8120825,0.16312028
keluarga peras polisi kerjasama oknum jabat lurah nuntut 1 m salah yg laku,74,13,neutral,1,0.8726427,0.0011233033,0.8726427,0.12623397
real habis foto pulang ngatur lalulintas pakogah,48,7,neutral,1,0.65185463,0.019536443,0.65185463,0.32860887
polisi konoha,13,2,neutral,1,0.5731016,0.022685107,0.5731016,0.40421328
bang udah bang,14,3,neutral,1,0.8060607,0.09964695,0.8060607,0.09429238
foto empat ngopi daerah,23,4,neutral,1,0.99518764,0.0037333276,0.99518764,0.0010789742
bg foto in bntr kh dokumen kirim grup polisi,44,9,neutral,1,0.95997214,0.0010806166,0.95997214,0.038947247
bantu mabes gak mas yg mas banyak sih yg bawah ikat yaaah system ny,67,14,neutral,1,0.82269275,0.022215242,0.82269275,0.15509205
tuju,4,1,neutral,1,0.5925568,0.32737437,0.5925568,0.080068894
gua tuju gua pling mles yg nmnya isi lop,40,9,neutral,1,0.97698796,0.0017531051,0.97698796,0.021258995
abis foto2 kirim atas lapor abis tuh ngopi banget tuh liat kalo pagi2,69,13,neutral,1,0.62745064,0.34745672,0.62745064,0.025092587
gua cuman d gua polisi foto d empat foto foto empat d tinggal,61,13,neutral,1,0.85189843,0.0024900204,0.85189843,0.14561155
lo yg patroli d cafe tuak,25,6,neutral,1,0.75160354,0.003118269,0.75160354,0.24527822
