comment_clean,cluster
duuhh ampun mah laku polri asli speechless,4
plot twist bjorka nya podcastt auu,3
foto lho beneer,5
bobrok institusi heran nya malu kapolrinya mundur,3
tau polisi aib,1
dokumen orang dikerjain bayar negara,6
bener wkwkwkwkw pagi nemuin pagi pose atur lintas poto temennya jalan orang krusial orang berangkat sekolah kerja,0
tenggelam laut fakta,2
christytolissautboydenpard beda preman beda seragam,4
lapor tipu urus cmk dapet kertas doang,0
bener bang bener foto empat mnt habis ilang,0
fakta biadab polisi,2
nya yak siang,3
polisi gajih perintah perintah gajih rakyat bayar pajak kerja bayar,6
understand king people people know,4
inget pas smk turun bus trus polisi pake motor polisi foto murid doang pergi,5
pantes bilang oknum,4
polisi planga plongo,1
basicly uang uang gaji tunjang dasar serakah tamak embel embel polisi lembaga kuat engga uang kepake lembaga bullshit polisi suka ngonten rusak citra,1
tempat seser beking tambang emas ilegal kayu ilegal sabung ayam kadang jaga pesta hajat pakai hibur tarif,4
liat foto abis pergi,5
anjir polisi kerja bener bener lapang oknum karna anggota foto foto cabut,5
hacker data bisnis bjorka skenario buruk rusak indonesia hitam bisnis putih indonesia duli indonesia,4
dasar pilis emng pilis miskin akal sehat moral,4
fakta polri habis anggar negara malak masyarakat,2
polres jogja polres bantul lapor kesana kertas doang tindak,0
ril ketangkep motor lengkap knalpot standar inti standar pabrik situ kena nebus motor kantor gitu gampang mending gin bilang selang tmn ketangkep pas balap liar taulahy motor kya gitu gmna kondisi motor nebus motor cuman anj,6
fakta ngalamin kaya gitu musibah bantu palak orang isilop ikutikutan tempat polisi patroli pagi doang ferdi sambo polisi coreng pagi polisi jagajaga empat adem ayem kaha gin polisi luar kantor langka,1
lulus polisi kerja bener,1
gua ken indo nepal part pas rakyat murka perintah ceburin dahh jabat publik nepal bar ngasih contoh ayo donk ceburin sambitin,6
buka bisnis mending negeri ngapain harap regulasi kek taik,0
gua kmrn tilang pintain duit bang nanya gua gua bilang gamau nya yaa tau,6
pangkat letnan duit,7
bang narikin duit doang tempat kroke trus warung jual miras bukti temen ndiri silah cek,7
coklat jujur oknum oknum buanyakk alam lapor gelap sales sampe sekar maju lapor kantor duit duit lapor jalan,7
ammarzonetv aman rumah hacker twrdetek,6
skill bang langsung skill ulti gitu wkkwk,0
sloganya ayom lindung bayar polisi cemen berani ama korup rakyat ngkp aniaya siksa rakyat tau laku polisi citra ngaruh rakyat fakta lapang sungguh kejam,1
uang abang kerja uang abang malak,4
daerah kak indonesia yaa,4
temenku lapor hasil jebretan foto lalulalu,5
emng polisi indonesia gitu bobrok,4
mrasa baca komen ino senyam senyum sdikit tir smoga baik hukum indonesia,4
usaha tau hasil uang kena musibah mobil laka lantas duitin ngurus mobil tebus,6
bener bang foto jalan pagi rahasia kek gitu gaji kesel hilang motor lapor kena cuma kertas suruh tinggalin nomer sampe gda kabar,0
fakta sam jgk ngurus sim sngt dasar aparat konoha,2
sampe negeri grogoti aparat,0
bang miara cepu,0
bener motor gua ketemu taun hilang pas suruh bayar anjir harga motor harga motor satria gua kisar ilang gitu pas nya suruh bayar juta polisi tau gitu beli bodong bpkb stnk tinggal ketok mesin otak kotor muncul lakuin sampe alhamdulillah dzalimi polisi allah rumah mobil motor biji moga kena dzalim allah balas nya doa usaha guyss,6
lulus smk tau polisi orang dalem duit,1
